station,run,fiber,att,freq_band,ch,snr,snr_sigma,hilbert_snr,hilbert_snr_sigma,zenith,zenith_sigma,vpos,vpos_sigma,vneg,vneg_sigma,integral,integral_sigma,vdiff,noise,noise_sigma,hilbert_noise,hilbert_noise_sigma
11,1801,1,0,"(550, 750)",8,3.4148590512010886,0.30566378395403493,82.04833428718034,8.877871514134334,70.9014387122788,0.14556438746645253,0.0058182434091159545,0.0006820211126506944,-0.005795701912687023,0.0005801945474401596,0.10791200862404447,0.013973314764687867,2.254149642893187e-05,0.0017012192605564292,9.248489721711532e-05,0.0013136592670450178,7.15926070226267e-05
11,1801,1,0,"(550, 750)",4,3.4103740125821878,0.3469776306870243,76.67853344224875,11.443640377365947,72.29890593763761,0.14765406120770164,0.010352200722496875,0.0013384837935974262,-0.010479508308180988,0.0012911298196410124,0.18202186771259113,0.02964043780872018,-0.00012730758568411243,0.0030516016276919333,0.00014492104818187768,0.002369892879585109,0.00011930756662485111
11,1801,1,0,"(550, 750)",5,26.617674040099097,14.421275910538801,370.3841661599673,164.3409370271923,91.29301910594927,0.16177475650538062,0.05929581202137185,0.040721199272783955,-0.06409733171550082,0.050023485527351294,0.6616075066589245,0.40689125528366976,-0.004801519694128967,0.0022575004751430048,0.00016016758652312674,0.0017481171847316941,0.00012468960623633025
11,1801,1,0,"(550, 750)",6,14.554926843664857,1.0811162821679667,228.82392493938022,18.268974426638895,120.42472902249509,0.12730619337688315,0.03963628641399594,0.0037710651662748204,-0.04046910743983534,0.003946355300785119,0.4871521993157284,0.03647158921528266,-0.0008328210258393975,0.0027554095084932444,0.0001600480038763004,0.0021332539606039713,0.000124051036021759
11,1801,1,0,"(550, 750)",7,7.227119513762014,0.8477483830207564,151.54845232148142,17.12161388828359,138.889078269197,0.11549368964779334,0.009499151621365465,0.0011481892946012791,-0.009518976238905198,0.0012155965448067967,0.15432340710080444,0.017544868646056824,-1.9824617539732775e-05,0.0013170122897434584,6.350945542903005e-05,0.0010196726160523857,4.893981140761762e-05
11,1803,1,0,"(175, 750)",0,38.35969419349734,1.8364992649639822,483.59557815144063,22.104217168424018,65.28224926472305,0.13652220677557625,0.15928671754040816,0.007155060397920061,-0.18001047536790982,0.007842057217055774,1.655032923143895,0.05492467636782129,-0.02072375782750166,0.004426470865431153,0.0001374511553617519,0.0034256983582665324,0.00010825362839475136
11,1803,1,0,"(175, 750)",1,39.987139998427715,1.5623471592843508,514.8641070408858,21.420911769370548,66.68799815120423,0.13884244792433367,0.2054074321239088,0.010813246697856499,-0.2326382404334071,0.008764020950704367,2.184977655094819,0.08525034642630998,-0.02723080830949831,0.005480240663462182,0.00018740341365812213,0.004246661224757588,0.00014332677136014196
11,1803,1,0,"(175, 750)",2,41.484599687875416,2.379759839527925,509.7092101120476,27.65817229307863,68.05444806778304,0.1410735779374561,0.13045132372096063,0.005564829252721263,-0.14287631387405406,0.006115278865015731,1.301359278680923,0.048648877331827614,-0.012424990153093424,0.0032991661869803085,0.00011495161637987611,0.0025566072426016053,8.722075610454205e-05
11,1803,1,0,"(175, 750)",3,47.57306002259113,1.799719725213171,583.6825253413883,25.29107702084415,69.50019290763427,0.14338722433143722,0.1637340357804584,0.0062796482200101434,-0.19031449777296308,0.008733527564636058,1.6824845921833365,0.06805204048567216,-0.02658046199250469,0.00372340835141316,0.00012884049246836705,0.0028845936801972787,9.856111721288218e-05
11,1803,1,0,"(175, 750)",8,6.465055795698718,0.8331635880942468,100.27915878603089,10.694133341314458,70.9014387122788,0.14556438746645253,0.028280854921026277,0.0036653842427606755,-0.030403644945843324,0.00443611205526202,0.35207849704498906,0.032387279560121975,-0.002122790024817047,0.004543102921750136,0.00015805944441564724,0.0035178920340819962,0.00012052087009371118
